,t0,LZ,dt_LZ,IOI
73.0,73.0,0.029897352853986262,0.009965784284662087,0.5
74.0,74.0,0.06976048999263461,0.03986313713864835,0.25
75.0,75.0,0.029897352853986262,-0.03986313713864835,1.0
76.0,76.0,0.019931568569324175,-0.009965784284662087,0.0
77.0,77.0,0.019931568569324175,0.0,0.0
78.0,78.0,0.03986313713864835,0.019931568569324175,1.0
79.0,79.0,0.019931568569324175,-0.019931568569324175,0.0
80.0,80.0,0.03986313713864835,0.019931568569324175,1.0
81.0,81.0,0.019931568569324175,-0.019931568569324175,0.0
82.0,82.0,0.03986313713864835,0.019931568569324175,1.0
83.0,83.0,0.019931568569324175,-0.019931568569324175,0.0
84.0,84.0,0.029897352853986262,0.009965784284662087,1.0
85.0,85.0,0.029897352853986262,0.0,0.5
86.0,86.0,0.049828921423310434,0.01993156856932417,0.3333333333333333
87.0,87.0,0.03986313713864835,-0.009965784284662084,1.0
88.0,88.0,0.049828921423310434,0.009965784284662084,0.5
89.0,89.0,0.029897352853986262,-0.01993156856932417,1.0
90.0,90.0,0.019931568569324175,-0.009965784284662087,0.0
91.0,91.0,0.049828921423310434,0.02989735285398626,0.3333333333333333
92.0,92.0,0.03986313713864835,-0.009965784284662084,0.5
93.0,93.0,0.029897352853986262,-0.009965784284662087,1.0
94.0,94.0,0.049828921423310434,0.01993156856932417,0.3333333333333333
95.0,95.0,0.029897352853986262,-0.01993156856932417,1.0
96.0,96.0,0.029897352853986262,0.0,0.5
97.0,97.0,0.049828921423310434,0.01993156856932417,0.3333333333333333
98.0,98.0,0.03986313713864835,-0.009965784284662084,1.0
99.0,99.0,0.019931568569324175,-0.019931568569324175,0.0
100.0,100.0,0.03986313713864835,0.019931568569324175,1.0
101.0,101.0,0.019931568569324175,-0.019931568569324175,0.0
102.0,102.0,0.019931568569324175,0.0,0.0
103.0,103.0,0.019931568569324175,0.0,0.0
104.0,104.0,0.029897352853986262,0.009965784284662087,1.0
105.0,105.0,0.029897352853986262,0.0,1.0
106.0,106.0,0.029897352853986262,0.0,1.0
107.0,107.0,0.019931568569324175,-0.009965784284662087,0.0
108.0,108.0,0.019931568569324175,0.0,0.0
109.0,109.0,0.03986313713864835,0.019931568569324175,0.5
110.0,110.0,0.019931568569324175,-0.019931568569324175,0.0
111.0,111.0,0.029897352853986262,0.009965784284662087,1.0
112.0,112.0,0.03986313713864835,0.009965784284662087,0.3333333333333333
113.0,113.0,0.059794705707972524,0.019931568569324175,0.5
114.0,114.0,0.019931568569324175,-0.03986313713864835,0.0
115.0,115.0,0.019931568569324175,0.0,0.0
116.0,116.0,0.019931568569324175,0.0,0.0
117.0,117.0,0.019931568569324175,0.0,0.0
118.0,118.0,0.019931568569324175,0.0,0.0
119.0,119.0,0.019931568569324175,0.0,0.0
120.0,120.0,0.019931568569324175,0.0,0.0
121.0,121.0,0.049828921423310434,0.02989735285398626,0.5
122.0,122.0,0.019931568569324175,-0.02989735285398626,0.0
123.0,123.0,0.03986313713864835,0.019931568569324175,1.0
124.0,124.0,0.029897352853986262,-0.009965784284662087,1.0
125.0,125.0,0.029897352853986262,0.0,1.0
126.0,126.0,0.029897352853986262,0.0,1.0
127.0,127.0,0.03986313713864835,0.009965784284662087,1.0
128.0,128.0,0.029897352853986262,-0.009965784284662087,1.0
129.0,129.0,0.03986313713864835,0.009965784284662087,0.5
130.0,130.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
131.0,131.0,0.029897352853986262,-0.01993156856932417,1.0
132.0,132.0,0.06976048999263461,0.03986313713864835,0.25
133.0,133.0,0.049828921423310434,-0.019931568569324175,0.5
134.0,134.0,0.03986313713864835,-0.009965784284662084,0.5
135.0,135.0,0.03986313713864835,0.0,1.0
136.0,136.0,0.06976048999263461,0.02989735285398626,0.3333333333333333
137.0,137.0,0.029897352853986262,-0.03986313713864835,0.5
138.0,138.0,0.029897352853986262,0.0,0.5
139.0,139.0,0.03986313713864835,0.009965784284662087,1.0
140.0,140.0,0.06976048999263461,0.02989735285398626,0.3333333333333333
141.0,141.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333
142.0,142.0,0.029897352853986262,-0.029897352853986262,1.0
143.0,143.0,0.06976048999263461,0.03986313713864835,0.25
144.0,144.0,0.049828921423310434,-0.019931568569324175,0.25
145.0,145.0,0.019931568569324175,-0.02989735285398626,0.0
146.0,146.0,0.019931568569324175,0.0,0.0
147.0,147.0,0.06976048999263461,0.049828921423310434,0.25
148.0,148.0,0.049828921423310434,-0.019931568569324175,0.5
149.0,149.0,0.049828921423310434,0.0,0.5
150.0,150.0,0.029897352853986262,-0.01993156856932417,0.5
151.0,151.0,0.019931568569324175,-0.009965784284662087,0.0
152.0,152.0,0.049828921423310434,0.02989735285398626,0.5
153.0,153.0,0.049828921423310434,0.0,0.3333333333333333
154.0,154.0,0.029897352853986262,-0.01993156856932417,1.0
155.0,155.0,0.029897352853986262,0.0,1.0
156.0,156.0,0.029897352853986262,0.0,1.0
157.0,157.0,0.03986313713864835,0.009965784284662087,0.5
158.0,158.0,0.03986313713864835,0.0,0.5
159.0,159.0,0.03986313713864835,0.0,1.0
160.0,160.0,0.03986313713864835,0.0,0.5
161.0,161.0,0.029897352853986262,-0.009965784284662087,0.5
162.0,162.0,0.049828921423310434,0.01993156856932417,0.5
163.0,163.0,0.029897352853986262,-0.01993156856932417,1.0
164.0,164.0,0.019931568569324175,-0.009965784284662087,0.0
165.0,165.0,0.03986313713864835,0.019931568569324175,0.5
166.0,166.0,0.03986313713864835,0.0,1.0
167.0,167.0,0.03986313713864835,0.0,1.0
168.0,168.0,0.03986313713864835,0.0,1.0
169.0,169.0,0.029897352853986262,-0.009965784284662087,1.0
170.0,170.0,0.019931568569324175,-0.009965784284662087,0.0
171.0,171.0,0.03986313713864835,0.019931568569324175,0.5
172.0,172.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
173.0,173.0,0.029897352853986262,-0.01993156856932417,1.0
174.0,174.0,0.03986313713864835,0.009965784284662087,1.0
175.0,175.0,0.03986313713864835,0.0,1.0
176.0,176.0,0.049828921423310434,0.009965784284662084,0.3333333333333333
177.0,177.0,0.03986313713864835,-0.009965784284662084,0.5
178.0,178.0,0.049828921423310434,0.009965784284662084,0.25
179.0,179.0,0.049828921423310434,0.0,0.3333333333333333
180.0,180.0,0.049828921423310434,0.0,0.3333333333333333
181.0,181.0,0.059794705707972524,0.009965784284662091,0.25
182.0,182.0,0.03986313713864835,-0.019931568569324175,0.5
183.0,183.0,0.029897352853986262,-0.009965784284662087,0.5
184.0,184.0,0.03986313713864835,0.009965784284662087,1.0
185.0,185.0,0.019931568569324175,-0.019931568569324175,0.0
186.0,186.0,0.03986313713864835,0.019931568569324175,1.0
187.0,187.0,0.03986313713864835,0.0,0.5
188.0,188.0,0.029897352853986262,-0.009965784284662087,1.0
189.0,189.0,0.019931568569324175,-0.009965784284662087,0.0
190.0,190.0,0.03986313713864835,0.019931568569324175,0.3333333333333333
191.0,191.0,0.03986313713864835,0.0,0.5
192.0,192.0,0.059794705707972524,0.019931568569324175,0.25
193.0,193.0,0.03986313713864835,-0.019931568569324175,1.0
194.0,194.0,0.019931568569324175,-0.019931568569324175,0.0
195.0,195.0,0.03986313713864835,0.019931568569324175,0.5
196.0,196.0,0.059794705707972524,0.019931568569324175,0.3333333333333333
197.0,197.0,0.019931568569324175,-0.03986313713864835,0.0
198.0,198.0,0.06976048999263461,0.049828921423310434,0.25
199.0,199.0,0.029897352853986262,-0.03986313713864835,0.5
200.0,200.0,0.049828921423310434,0.01993156856932417,0.3333333333333333
201.0,201.0,0.03986313713864835,-0.009965784284662084,0.5
202.0,202.0,0.019931568569324175,-0.019931568569324175,0.0
203.0,203.0,0.019931568569324175,0.0,0.0
204.0,204.0,0.019931568569324175,0.0,0.0
205.0,205.0,0.019931568569324175,0.0,0.0
